Carbohydrate degradation	Amino Acid Degradation	Carboxylate Degradation	Nucleoside and Nucleotide Degradation	Secondary Metabolite Degradation	Amino Acid Biosynthesis	Aromatic Compound Biosynthesis	Carbohydrate Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Fatty Acid and Lipid Biosynthesis	Nucleoside and Nucleotide Biosynthesis	Secondary Metabolite Biosynthesis	Fermentation	Glycolysis	Generation of Precursor Metabolites and Energy	Inorganic Nutrient Metabolism	Aminoacyl-tRNA Charging	Group
SRR5983452	-4.13344568886645	-6.72051138893498	-5.12128636818008	-4.29457605434765	-9	-4.66201953107984	-3.5795679870413	-7.35346879152667	-3.79249443255472	-4.07355778035778	-3.9798194608036	-3.40460519887968	-6.28615974638296	-3.92798024041357	-4.67939634648623	-6.69684694522657	-3.6931376811995	CD
SRR5983459	-3.96662710554073	-7.42967214211862	-4.28143376893164	-3.62577648742137	-9	-4.63670555974399	-3.6105414406193	-7.3726725574631	-3.99346410779646	-3.90232674893492	-4.30691916943439	-3.95477093287592	-6.32795210776116	-3.87345690005208	-4.01161183396807	-7.06421732649964	-4.07043139621909	CD
SRR5983460	-4.12106832160221	-6.6684889477891	-5.02866676433951	-3.77554085293411	-9	-4.63056174625731	-3.4879302749172	-7.23654678207707	-3.73424713614559	-3.77296872324074	-4.20384909054801	-3.46340999647632	-6.21147147538101	-3.98912292859792	-5.3495153579779	-6.81333155580508	-3.84781259493713	CD
SRR5983462	-3.87991286208077	-6.56594857557367	-4.70231723204654	-4.06788411771303	-9	-4.27673839906475	-3.52231945164307	-7.40582191588544	-3.70462485631707	-3.88766502354934	-3.87320995128696	-3.35912221419957	-6.28023383628237	-3.95461237113556	-4.58535433126493	-6.55772918945434	-3.71772011095115	CD
SRR5983469	-3.99487861771721	-6.82103162410168	-4.66416293582588	-4.27694728103459	-9	-4.33374731315453	-3.63559712103297	-7.30102304711903	-3.74509021886992	-4.2968601063065	-3.79484301826682	-3.38906636008717	-6.31598493866132	-4.10041860859673	-4.33412761009021	-6.76339743267371	-3.67719790104284	CD
SRR5983470	-3.81699021194332	-9	-4.82918956153147	-3.88907322217037	-9	-4.23492690798574	-3.55724737011742	-7.37232571157706	-3.7786105743925	-3.92309021291033	-3.87958661704423	-3.5427056303215	-6.29010148542661	-3.88376689450387	-4.34162571095364	-7.26851515394285	-3.83242275722737	CD
SRR5983472	-3.9478372399715	-7.03566844652893	-4.01828921774063	-3.74520061509251	-9	-4.15773005899427	-3.57587700705703	-7.31003790029691	-3.95869912755211	-3.79364679315179	-3.97222816078169	-3.66146581845996	-6.2995331078188	-3.79923804213339	-4.08433026125974	-6.63207405083623	-3.77662348697028	CD
SRR5983474	-4.36730425052611	-7.4877592185915	-5.34495330473044	-4.54389754127323	-9	-4.49596134407453	-3.96688921105815	-7.31529119906116	-3.84202721084589	-4.34895397388555	-5.2608094050371	-3.44386642437992	-6.39693484240624	-4.27555732101924	-4.96137014291105	-6.6677918452933	-4.0550176832036	CD
SRR5983475	-4.38912589544419	-6.79063231560047	-4.83893746224884	-4.43981534882583	-9	-4.52234869734947	-3.78211186885845	-7.19658985426158	-3.71182034245256	-4.29145102956239	-3.94952349766385	-3.3826211274951	-6.31156820471763	-3.60907085469208	-4.63155623647447	-6.78410670337285	-3.87355687015485	CD
SRR5983479	-4.02388771913813	-7.5960610682047	-4.11988373371443	-3.75617008815176	-9	-4.22918095035798	-3.71848080823505	-7.3948012194754	-4.07413777525612	-3.97182807548524	-4.01853267680732	-3.73489431628813	-6.32467326771382	-4.07583522074357	-4.33287794005789	-6.77284822024465	-3.6790648045314	CD
